All time,In title,Match
All time,155,179000
2017,5,8060
2016,11,14700
2015,7,14100
2014,8,14200
2013,14,13400
2012,5,12700
2011,16,10900
2010,6,9960
2009,9,9240
2008,7,8490
2007,8,7020
2006,2,6250
2005,8,5820
2004,8,5440
2003,3,4480
2002,3,3730
2001,4,3610
2000,2,3620
1999,1,2790
1998,2,2630
1997,1,2140
1996,1,2100
1995,1,3090
1994,2,1960
1993,2,1860
1992,1,1760
1991,0,1670
1990,0,1650
1989,0,1500
1988,1,1330
1987,0,1270
1986,0,1240
1985,0,1180
1984,1,1160
1983,0,1030
1982,0,935
1981,0,912
1980,0,936
1979,0,802
1978,0,690
1977,0,637
1976,0,598
1975,0,529
1974,0,574
1973,0,494
1972,0,481
1971,0,452
1970,0,418
1969,0,382
1968,0,343
1967,0,310
1966,0,242
1965,0,280
1964,0,219
1963,0,206
1962,0,154
1961,0,145
1960,0,161
1950,0,65
1940,0,38
1930,0,26
1920,0,21
1910,0,14
1900,0,16
